AIRLINE,Name,name,secCik,airline,alt,aoc,assets,callsign,commenced,destinations,equity,fleetSize,founded,frequentFlyer,headquarters,iata,icao,keyPeople,netIncome,numEmployees,operatingIncome,revenue,thumbnail,prov#wasDerivedFrom,wikiPageLength,hypernym,headquarter,industry,formationDate,numberOfEmployees,openingDate,iataAirlineCode,icaoAirlineCode,destination,targetAirport,isPrimaryTopicOf,wikiPageRedirects,homepage,logo,logoSize,parent,website,focusCities,alliance,date,hubs,reason,tradedAs,parentCompany,hubAirport,isin,subsidiaries,subsidiary
WN,Southwest_Airlines,Southwest Airlines,LUV,Southwest Airlines,"Logo , consisting of the name ""Southwest"" in blue letters followed by a heart in yellow, red and blue diagonal stripes",SWAA304A,2.62E+10,SOUTHWEST,6/18/1971,121,9.85E+09,737,3/15/1967,Rapid Rewards,"Dallas, Texas, U.S.",WN,SWA,Mike Van de Ven,2.47E+09,54448,3.21E+09,2.20E+10,Southwest_Airlines_logo_2014.svg?width=300,Southwest_Airlines?oldid=1057664682&ns=0,58711,Airline,Dallas,Airline,3/15/1967,54448,6/18/1971,WN,SWA,List_of_Southwest_Airlines_destinations,Dallas_Love_Field,Southwest_Airlines,,,,,,,,,,,,,,,,,
US,USA_Jet_Airlines,USA Jet Airlines,,USA Jet Airlines,,Y2PA154Y,,JET USA,,,,12,1994,,United_States,UJ,JUS,"Chris Jamroz, Executive Chairman; John Heaney, President",,,,,USA_Jet_Airlines_Logo.jpg?width=300,USA_Jet_Airlines?oldid=1053860495&ns=0,6760,Airline,United_States,Airline,,,,UJ,JUS,,Willow_Run_Airport,USA_Jet_Airlines,,,USA Jet Airlines Logo.jpg,250,Ascent Global Logistics,,,,,,,,,,,,
AS,Alaska_Airlines,Alaska Airlines,,Alaska Airlines,,ASAA802A,,ALASKA,6/6/1944,117,,303,4/14/1932,Mileage_Plan,"SeaTac,_Washington",AS,ASA,Linious McGee,,20465,,,Alaska_livery.jpg?width=300,Alaska_Airlines?oldid=1058010000&ns=0,125852,American,"SeaTac,_Washington",Airline,4/14/1932,20465,6/6/1944,AS,ASA,List_of_Alaska_Airlines_destinations,San_Jose_International_Airport,Alaska_Airlines,,,Alaska livery.jpg,250,Alaska_Air_Group,,,Oneworld,15-Oct,,2012,ALK,Alaska_Air_Group,Los_Angeles_International_Airport,,,
OO,SkyWest_Airlines,SkyWest Airlines,,SkyWest Airlines,,SWIA011A,,SKYWEST,,233,,490,4/26/1972,,"St. George, Utah, United States",OO,SKW,"Russell ""Chip"" Childs",,14072,,,SkyWest_Airlines_(United_States)_logo.svg?width=300,SkyWest_Airlines?oldid=1056305667&ns=0,42213,Airline,United_States,Airline,4/26/1972,14072,,OO,SKW,,,SkyWest_Airlines,,,SkyWest Airlines  logo.svg,,"SkyWest,_Inc.",,,,,,,,"SkyWest,_Inc.",Phoenix_Sky_Harbor_International_Airport,,,
VX,Avelo_Airlines,Avelo Airlines,,Avelo Airlines,,BJNA472B,,AVELO,,16,,6,,,"Houston, Texas, U.S.",XP,VXP,Andrew Levy,,300,,,Avelo_Airlines_Logo.svg?width=300,Avelo_Airlines?oldid=1055604486&ns=0,23526,,Houston,Airline,,300,4/28/2021,XP,VXP,,Tweed_New_Haven_Airport,Avelo_Airlines,,,,,"Avelo, Inc.",,,,,,,,,,,,
UA,United_Airlines,"United Airlines, Inc.",,"United Airlines, Inc.",,CALA014A,5.26E+10,UNITED,3/28/1931,342,1.15E+10,854,"Boise, Idaho, U.S.",MileagePlus,"Willis Tower, Chicago, Illinois, U.S.",UA,UAL,Walter Varney,3.01E+09,"~96,000",4.30E+09,4.33E+10,United_Airlines_Logo.svg?width=300,United_Airlines?oldid=1058064679&ns=0,87564,,Willis_Tower,Airline,4/6/1926,96000,3/28/1931,UA,UAL,List_of_United_Airlines_destinations,,United_Airlines,,www.united.com,,,United_Airlines_Holdings,www.united.com,,Star_Alliance,,,,,United_Airlines_Holdings,Dulles_International_Airport,9.10E+09,"United Vacations, Inc.",MileagePlus
HA,Hawaiian_Airlines,Hawaiian Airlines,,Hawaiian Airlines,,HALA005A,,HAWAIIAN,10/6/1929,32,,61,1/30/1929,HawaiianMiles,"Honolulu, Hawaii, United States",HA,HAL,"Stanley Kennedy Sr., Founder",2.33E+08,7299,3.14E+08,2.84E+09,Hawaiian_Airlines_logo_2017.svg?width=300,Hawaiian_Airlines?oldid=1058061211&ns=0,70670,Airline,Honolulu,Airline,1/30/1929,7299,10/6/1929,HA,HAL,List_of_Hawaiian_Airlines_destinations,,Hawaiian_Airlines,,,Hawaiian Airlines logo 2017.svg,150,Hawaiian Holdings Inc.,,,,,,,NASDAQ:HA,,Kahului_Airport,,,
NK,Spirit_Airlines,Spirit Airlines,SAVE,Spirit Airlines,,GTIA770S,5.17E+09,SPIRIT WINGS,,83,1.93E+09,170,,Free Spirit,"Miramar, Florida, U.S.",NK,NKS,Ted Christie,1.56E+08,8938,3.51E+08,3.23E+09,Spirit_Airlines_logo.svg?width=300,Spirit_Airlines?oldid=1057665307&ns=0,44448,,"Miramar,_Florida",Airline,,8938,,NK,NKS,,Atlantic_City_International_Airport,Spirit_Airlines,,www.spirit.com,,,,www.spirit.com,,,,,,NYSE:SAVE,,,,,
B6,JetBlue,JetBlue,JBLU,JetBlue Airways,,YENA176J,1.04E+10,JETBLUE,2/11/2000,104,4.61E+09,282,,TrueBlue,"Long Island City, New York City, New York, U.S.",B6,JBU,Robin Hayes,1.88E+08,22000,2.88E+08,7.66E+09,JetBlue_Airways_Logo.svg?width=300,JetBlue?oldid=1057819638&ns=0,84327,Airline,New_York_(state),Airline,,22000,2/11/2000,B6,JBU,List_of_JetBlue_destinations,Luis_Muñoz_Marín_International_Airport,JetBlue,,www.jetblue.com,,,,www.jetblue.com,,,,,,,,,4.77E+09,JetBlue Travel Products,
F9,Frontier_Airlines,Frontier Airlines,,Frontier Airlines,,F3LA008Y,,FRONTIER FLIGHT,7/5/1994,116,,112,2/8/1994,FRONTIER Miles,"Denver, Colorado, US",F9,FFT,Barry L. Biffle,8.30E+07,,1.20E+08,2.16E+09,Frontier_Airlines_logo.svg?width=300,Frontier_Airlines?oldid=1057821993&ns=0,74470,United,Denver,Airline,2/8/1994,,7/5/1994,F9,FFT,List_of_Frontier_Airlines_destinations,Trenton–Mercer_Airport,Frontier_Airlines,,,,,Indigo_Partners,,,,,Denver_International_Airport,,NASDAQ:ULCC,Indigo_Partners,Denver_International_Airport,,,
MQ,Envoy_Air,Envoy Air Inc.,,Envoy Air Inc.,Envoy Air logo,SIMA586A,,ENVOY,,170,,159,,AAdvantage,United_States,MQ,ENY,Pedro Fábregas,,18000,,,Envoy_air_logo.svg?width=300,Envoy_Air?oldid=1053330025&ns=0,29709,,United_States,Airline,,18000,,MQ,ENY,,,Envoy_Air,,,,,American_Airlines_Group,,,Oneworld,,* Miami,,,American_Airlines_Group,O'Hare_International_Airport,,,
AA,American_Airlines,"American Airlines, Inc.",,"American Airlines, Inc.",American Airlines logo,AALA025A,,AMERICAN,6/25/1936,350,,891,,AAdvantage,United_States,AA,AAL,Stephen Johnson,,133700,,,American_Airlines_logo_2013.svg?width=300,American_Airlines?oldid=1056166115&ns=0,80255,,United_States,Airline,4/15/1926,133700,6/25/1936,AA,AAL,,,American_Airlines,,,,,American_Airlines_Group,,,Oneworld,21-Nov,,,NASDAQ:AAL,American_Airlines_Group,Phoenix_Sky_Harbor_International_Airport,,,
