,Country,anthem,currency,largestCity,officialLanguage,hypernym,sovereigntyType,timeZoneDst,timeZone,languages,utcOffset,utcOffsetDst,areaSqMi,currencyCode,dateFormat,drivesOn,gdpNominalYear,gdpPppYear,gini,giniChange,giniYear,hdiChange,hdiYear,languages2Type,nationalAnthem,nationalMotto,officialLanguages,patronSaint,populationCensus,populationCensusYear,populationDensitySqMi,populationEstimate,populationEstimateYear,language,motto,percentageOfAreaWater,giniCoefficient,aprHighC,aprLowC,aprMeanC,aprPrecipitationMm,augHighC,augLowC,augMeanC,augPrecipitationMm,d,decHighC,decLowC,decMeanC,decPrecipitationMm,febHighC,febLowC,febMeanC,febPrecipitationMm,janHighC,janLowC,janMeanC,janPrecipitationMm,julHighC,julLowC,julMeanC,julPrecipitationMm,junHighC,junLowC,junMeanC,junPrecipitationMm,location,marHighC,marLowC,marMeanC,marPrecipitationMm,mayHighC,mayLowC,mayMeanC,mayPrecipitationMm,metricFirst,novHighC,novLowC,novMeanC,novPrecipitationMm,octHighC,octLowC,octMeanC,octPrecipitationMm,religion,sepHighC,sepLowC,sepMeanC,sepPrecipitationMm,singleLine,source,width,yearHighC,yearLowC,yearMeanC,yearPrecipitationMm,ethnicGroupsYear,gdpNominalPerCapitaRank,gdpNominalRank,ethnicGroup,titlebar,gdpPppPerCapitaRank,languagesType,lowerHouse,religionYear,house,mapCaption,gdpPppRank,sovereigntyNote,giniRank,footerAlign,iso31661Code,perrow,Confirmed,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,0,0,0,0,0,-1.0,-1.0,-1.0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0,-1.0,0,0,0,0,0,0,0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
17,16,2,10,12,0,6,12,2,4,7,4,5,10,9,0,3,2021.0,2021.0,29.7,1,2019.0,1,2019.0,0,16,0,0,0,-1.0,-1.0,601.0,38,7,11,0,1.27,29.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,155.0,-1.0,-1.0,-1.0,-1.0,0,15.0,4.0,0,0,15.0,7,2,0,1,0,22,0,-1.0,0,0,-1.0,207112.0,190314.0,7673.0,445.0,1.0,259.0,4.41,91.89,4.79,203325.0,3787.0,1.86,1
18,17,9,10,12,0,1,13,4,5,8,2,4,33,9,1,6,2020.0,2020.0,31.1,2,2020.0,1,2019.0,0,0,0,0,0,10816286.0,2011.0,212.0,3,7,12,8,1.51,31.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11,-1.0,-1.0,-1.0,-1.0,0,0,211.0,-1.0,-1.0,-1.0,-1.0,0,41.0,51.0,0,0,47.0,7,0,6,0,0,25,0,60.0,2,0,-1.0,4227.0,1374.0,2651.0,34.0,0.0,0.0,4.78,32.51,14.7,4012.0,215.0,5.36,1
19,0,0,8,12,0,1,0,0,0,5,0,0,40,8,4,6,-1.0,2011.0,33.9,3,2015.0,1,2010.0,0,0,0,12,0,-1.0,-1.0,0.069,27,7,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,12,-1.0,-1.0,0,1,40.0,14,0,0,0,5,38,0,-1.0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
20,0,0,0,0,0,3,42,0,0,10,0,0,0,0,0,0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,13,0,0,0,7,-1.0,-1.0,-1.0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,0,0,100.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0,-1.0,0,0,0,0,0,0,0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
21,18,0,14,12,14,7,14,2,4,0,4,5,29,12,11,6,2020.0,2020.0,28.3,2,2020.0,1,2019.0,0,34,0,13,10,-1.0,-1.0,9769526.0,43,8,0,0,3.7,28.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,143.0,-1.0,-1.0,-1.0,-1.0,17,45.0,53.0,8,0,41.0,0,0,11,0,0,25,0,-1.0,0,0,-1.0,4448.0,3329.0,523.0,13.0,0.0,0.0,13.4,74.84,17.9,4339.0,109.0,2.51,1
22,19,16,15,12,0,1,15,0,13,9,0,0,30,14,9,2,2020.0,2020.0,23.2,1,2018.0,1,2019.0,0,6,0,0,8,315556.0,2011.0,9.2,18,8,15,0,2.07,23.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18,-1.0,-1.0,-1.0,-1.0,0,0,200.0,-1.0,-1.0,-1.0,-1.0,12,5.0,-1.0,15,0,16.0,7,0,9,0,0,9,0,2.0,0,0,-1.0,1854.0,1823.0,21.0,7.0,0.0,0.0,0.54,98.33,0.55,1839.0,15.0,0.82,1
23,0,0,0,0,0,2,0,0,0,23,11,0,0,0,0,0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,0,0,0,0,0,-1.0,-1.0,-1.0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0,-1.0,0,0,0,0,0,0,0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
24,20,7,20,12,21,7,39,5,6,1,6,6,39,13,4,6,2020.0,2020.0,34.8,0,2018.0,1,2019.0,0,24,0,21,0,7412200.0,2008.0,-1.0,0,0,23,0,2.71,34.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13,-1.0,-1.0,-1.0,-1.0,0,0,727.0,-1.0,-1.0,-1.0,-1.0,13,19.0,31.0,1,0,34.0,17,0,8,0,1,23,0,48.0,0,3,-1.0,63985.0,27133.0,36378.0,2029.0,4.0,108.0,0.74,42.41,1.75,52003.0,11982.0,23.04,1
25,21,0,12,12,15,6,16,2,4,12,4,5,5,9,0,6,2021.0,2021.0,32.8,1,2019.0,1,2019.0,0,12,0,15,0,59433744.0,2011.0,521.5,29,7,18,0,1.24,32.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,500.0,-1.0,-1.0,-1.0,-1.0,11,25.0,8.0,10,1,29.0,6,3,9,2,0,6,0,-1.0,0,0,2.0,246286.0,198593.0,12581.0,168.0,5.0,147.0,14.26,80.64,17.68,244624.0,1662.0,0.68,1
26,22,17,16,1,16,1,17,0,9,3,5,0,2,16,0,6,2020.0,2020.0,27.5,2,2017.0,1,2019.0,4,27,0,16,0,-1.0,-1.0,18.0,6,7,16,0,1.7,27.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,14,69.0,55.0,11,1,53.0,1,12,0,15,0,19,0,-1.0,0,0,-1.0,84648.0,54404.0,29659.0,1526.0,0.0,1833.0,0.69,64.27,1.08,73468.0,11180.0,15.22,1
27,23,5,12,12,1,8,0,2,4,0,4,5,31,9,7,4,2020.0,2020.0,29.0,2,2017.0,1,2016.0,11,23,0,0,0,-1.0,2011.0,412.0,9,8,29,0,1.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8,-1.0,-1.0,-1.0,-1.0,0,0,900.0,-1.0,-1.0,-1.0,-1.0,3,-1.0,-1.0,31,1,-1.0,0,0,1,0,2,0,0,121.0,0,10,-1.0,7413.0,4027.0,3201.0,496.0,16.0,274.0,2.5,54.32,4.59,5877.0,1536.0,26.14,1
28,24,23,17,12,17,1,18,0,7,18,10,0,0,15,0,6,2019.0,2019.0,27.7,2,2018.0,1,2019.0,0,20,0,17,0,5362800.0,2009.0,71.0,32,7,26,0,3.6,27.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,13,158.0,141.0,29,1,134.0,1,0,0,0,0,5,0,-1.0,0,4,-1.0,33296.0,21205.0,10790.0,483.0,24.0,817.0,3.91,63.69,6.14,27143.0,6153.0,22.67,1
29,25,4,10,12,18,1,19,4,5,0,6,6,23,9,0,6,2021.0,2021.0,35.2,1,2019.0,1,2019.0,0,14,0,18,0,2070371.0,2011.0,77.0,7,7,0,0,2.09,35.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,220.0,-1.0,-1.0,-1.0,-1.0,13,-1.0,-1.0,33,0,-1.0,0,0,0,0,0,0,1,-1.0,0,0,-1.0,1219.0,1045.0,143.0,0.0,0.0,0.0,2.54,85.73,2.97,1192.0,27.0,2.27,1
30,26,26,28,6,13,0,38,3,4,0,1,3,36,7,0,6,2010.0,2013.0,-1.0,0,-1.0,1,2019.0,0,30,3,11,0,-1.0,-1.0,-1.0,22,0,0,3,2.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1.0,147.0,0,0,3.0,0,0,4,0,0,10,0,-1.0,0,0,-1.0,86.0,81.0,4.0,0.0,0.0,0.0,1.16,94.19,1.23,86.0,0.0,0.0,1
31,27,32,10,12,19,1,20,4,5,0,6,6,24,9,10,6,2021.0,2021.0,35.4,1,2019.0,1,2019.0,0,31,0,19,0,-1.0,-1.0,111.0,13,8,0,0,1.98,35.4,9.4,1.5,5.5,42.9,20.6,11.9,16.1,77.0,0,-0.1,2,-1.7,47.0,-1.3,2,-3.5,30.1,-1.7,2,-3.9,36.2,20.9,12.2,16.7,76.9,19.9,10.5,15.2,69.0,7,2.3,2,-0.1,33.9,16.5,7.0,11.6,52.0,3,3.5,0.1,1.8,50.4,9.9,4.0,7.0,49.9,0,15.8,8.3,12.2,60.3,3,5,300.0,9.5,2.7,6.2,625.5,16,38.0,80.0,16,1,34.0,0,0,5,0,0,34,0,-1.0,1,0,-1.0,2019.0,1620.0,319.0,11.0,0.0,4.0,3.96,80.24,4.94,1947.0,72.0,3.7,1
32,28,27,10,12,20,1,37,2,4,0,4,5,44,9,9,6,2019.0,2020.0,32.3,2,2019.0,1,2019.0,0,9,0,10,0,512353.0,2011.0,602.8,31,13,0,0,0.23,32.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1.0,69.0,0,0,2.0,0,0,7,0,0,37,0,19.0,0,0,-1.0,6321.0,4825.0,1384.0,49.0,0.0,178.0,1.77,76.33,2.32,5639.0,682.0,12.09,1
33,29,0,10,7,10,1,37,1,3,14,4,5,7,9,9,5,2019.0,2019.0,28.0,1,2019.0,1,2019.0,0,34,0,20,0,-1.0,2011.0,4231.0,0,6,21,0,0.001,28.0,19.8,12.4,16.1,20.7,31.8,22.6,27.2,12.8,0,17.1,6,14.4,109.2,15.6,7,12.5,60.1,15.6,7,12.8,98.5,31.5,21.7,26.6,0.3,28.6,19.1,23.9,4.6,8,17.3,4,13.9,44.2,24.1,15.5,19.8,16.0,3,20.7,14.6,17.7,92.3,25.0,18.1,21.5,82.9,14,28.5,20.8,24.7,58.6,3,3,80.0,23.0,15.5,19.3,595.8,13,-1.0,-1.0,13,0,-1.0,13,0,8,0,0,0,6,15.0,0,0,-1.0,701.0,665.0,27.0,1.0,0.0,0.0,1.28,94.86,1.35,677.0,24.0,3.55,1
34,30,15,19,12,24,1,21,4,5,0,6,6,9,17,0,6,2021.0,2021.0,25.7,1,2018.0,1,2019.0,0,19,0,24,0,-1.0,-1.0,234.0,12,1,30,0,1.4,25.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9,-1.0,-1.0,-1.0,-1.0,0,0,170.0,-1.0,-1.0,-1.0,-1.0,9,123.0,144.0,33,1,118.0,15,0,3,0,10,8,0,-1.0,2,0,-1.0,23154.0,16154.0,6252.0,120.0,13.0,245.0,3.23,69.77,4.63,21115.0,2039.0,9.66,1
35,31,10,10,5,12,4,37,2,4,0,4,5,1,9,0,1,2018.0,2015.0,-1.0,0,-1.0,0,-1.0,0,22,0,9,0,37308.0,2016.0,48462.0,21,6,24,7,-1.0,-1.0,16.7,10.9,13.8,71.3,26.9,21.4,24.2,26.5,0,13.9,7,11.2,88.8,13.0,6,10.2,48.4,13.0,6,10.2,67.7,26.6,21.0,23.8,13.7,23.7,18.0,20.9,32.6,9,14.9,7,12.0,41.2,20.4,14.6,17.5,49.0,3,16.5,11.2,13.8,103.2,20.6,15.2,17.9,128.7,4,24.0,18.3,21.1,72.5,3,4,-1.0,19.2,13.6,16.4,743.6,0,1.0,145.0,6,0,3.0,3,0,0,0,0,12,0,-1.0,0,0,-1.0,116.0,104.0,8.0,0.0,0.0,0.0,3.45,89.66,3.85,109.0,7.0,6.42,1
